text,topic
"Could you show me what a solar eclipse looks like from space?", "image"
"I'd love to see a drawing of a child flying with balloons.", "image"
"Create an artistic representation of hope using colors and light.", "image"
"Can you illustrate a dream about flying over cities at night?", "image"
"Show me how ancient Rome might have looked in its glory.", "image"
"Create an image of a sunset over the sea.", "image"
"Generate a drawing of a flying dragon.", "image"
"I would like to see a portrait of a lion.", "image"
"Draw a snowy landscape with a small house.", "image"
"Can you create an image of a sleeping cat?", "image"
"I want an illustration of a robot in the future.", "image"
"Graphically represent a blooming garden.", "image"
"Can you show me a painting of a tropical forest?", "image"
"Generate an image of a space station.", "image"
"I would like a drawing of a medieval castle.", "image"
"Create an image of a sunset over the sea.", "image"
"Generate a drawing of a flying dragon.", "image"
"I would like to see a portrait of a lion.", "image"
"Draw a snowy landscape with a small house.", "image"
"Can you create an image of a sleeping cat?", "image"
"I want an illustration of a robot in the future.", "image"
"Graphically represent a blooming garden.", "image"
"Can you show me a picture of a tropical forest?", "image"
"Generate an image of a space station.", "image"
"I would like a drawing of a medieval castle.", "image"
"¿Cómo se vería una ciudad sumergida bajo el océano?", "image"
"Me encantaría ver una ilustración de un bosque encantado al amanecer.", "image"
"Imagínate un dragón descansando sobre una montaña nevada, ¿puedes dibujarlo?", "image"
"¿Puedes representar visualmente la paz interior?", "image"
"Genera una imagen de un futuro utópico con naturaleza y tecnología fusionadas.", "image"
"Crea una imagen de un atardecer sobre el mar.", "imagen"
"Genera un dibujo de un dragón volando.", "imagen"
"Me gustaría ver un retrato de un león.", "imagen"
"Dibuja un paisaje nevado con una pequeña casa.", "imagen"
"¿Puedes crear una imagen de un gato durmiendo?", "imagen"
"Quiero una ilustración de un robot en el futuro.", "imagen"
"Representa gráficamente un jardín en flor.", "imagen"
"¿Puedes mostrarme una pintura de una selva tropical?", "imagen"
"Genera una imagen de una estación espacial.", "imagen"
"Me gustaría un dibujo de un castillo medieval.", "imagen"
"Crea una imagen de una puesta de sol en la montaña.", "imagen"
"Genera un dibujo de una ballena nadando en el océano.", "imagen"
"Quiero ver un retrato de una familia feliz.", "imagen"
"Dibuja un paisaje urbano futurista.", "imagen"
"¿Puedes crear una imagen de un caballo corriendo?", "imagen"
"Ilustra un cuento de hadas con dragones y castillos.", "imagen"
"Genera una imagen de un amanecer en el desierto.", "imagen"
"Me gustaría una imagen de un barco pirata en alta mar.", "imagen"
"Crea una imagen de una ciudad bajo el agua.", "imagen"
"Dibuja un jardín secreto con flores mágicas.", "imagen"
"Resume en tres líneas esta noticia de expansión https://expansion.mx/economia/2025/07/17", "scraper"
"Resume este articulo en 3 lineas https://www.bbc.com/news/science-environment-123456", "scraper"
"Resume este reportaje de El Universal en 3 frases https://www.eluniversal.com.mx/nacion/", "scraper"
"Extrae los titulares de hoy del sitio de El País https://elpais.com/ultimas-noticias/", "scraper"
"Ve a la sección internacional de BBC Mundo y obtén las últimas noticias https://www.bbc.com/news", "scraper"
"Ingresa a Clarín y dime qué está pasando en economía https://www.clarin.com/economia", "scraper"
"Scrapea la portada de La Jornada y dame un resumen breve https://www.jornada.com.mx/", "scraper"
"Consulta El Financiero y extrae los artículos más leídos https://www.elfinanciero.com.mx/", "scraper"
"Summarize this LangChain documentation page in 3 lines https://python.langchain.com/docs/tutorials/summarization/", "scraper"
"Summarize this article in 3 lines https://www.bbc.com/news/science-environment-123456", "scraper"
"Summarize this cybersecurity article from Ars Technica https://arstechnica.com/information-technology/", "scraper"
"Scrape the technology section of The Verge and get the headlines https://www.theverge.com/tech", "scraper"
"Fetch top science news from National Geographic's homepage https://www.nationalgeographic.com/", "scraper"
"Visit Wired and summarize their latest cybersecurity article https://www.wired.com/category/security/", "scraper"
"Get trending articles from CNBC's front page https://www.cnbc.com", "scraper"
"Scrape Fox News politics section and return all article titles https://www.foxnews.com", "scraper"
"https://elpais.com/ultimas-noticias/ Extrae los titulares de hoy del sitio de El País", "scraper"
"https://www.bbc.com/news Ve a la sección internacional de BBC Mundo y obtén las últimas noticias", "scraper"
"https://www.clarin.com/economia Ingresa a Clarín y dime qué está pasando en economía", "scraper"
"https://www.jornada.com.mx/ Scrapea la portada de La Jornada y dame un resumen breve", "scraper"
"https://www.elfinanciero.com.mx/ Consulta El Financiero y extrae los artículos más leídos", "scraper"
"https://www.theverge.com/tech Scrape the technology section of The Verge and get the headlines", "scraper"
"https://www.nationalgeographic.com/ Fetch top science news from National Geographic's homepage", "scraper"
"https://www.wired.com/category/security/ Visit Wired and summarize their latest cybersecurity article", "scraper"
"https://www.cnbc.com Get trending articles from CNBC's front page", "scraper"
"https://www.foxnews.com Scrape Fox News politics section and return all article titles", "scraper"
"https://www.bbc.com/news", "scraper"
"https://edition.cnn.com", "scraper"
"https://www.reuters.com", "scraper"
"https://www.theguardian.com/international", "scraper"
"https://www.aljazeera.com", "scraper"
"https://www.forbes.com", "scraper"
"https://www.bloomberg.com", "scraper"
"https://www.nytimes.com", "scraper"
"https://www.washingtonpost.com", "scraper"
"https://www.ft.com", "scraper"
"https://www.wsj.com", "scraper"
"https://www.nbcnews.com", "scraper"
"https://www.cnbc.com", "scraper"
"https://www.foxnews.com", "scraper"
"https://www.abcnews.go.com", "scraper"
"https://www.usatoday.com", "scraper"
"https://www.latimes.com", "scraper"
"https://www.npr.org", "scraper"
"https://www.vox.com", "scraper"
"https://www.politico.com", "scraper"
"Search for the most recent Nobel Prize winners and their contributions.", "search"
"Find news on technological advancements in renewable energy.", "search"
"What are the latest discussions around cryptocurrency regulation?", "search"
"Look for recent studies about the effects of social media on teenagers.", "search"
"Search current data on space debris and satellite collision risks.", "search"
"Search for the latest news on climate change.", "search"
"Find the latest updates on the global energy crisis.", "search"
"Search for information about the Artemis space mission.", "search"
"Search for news about the US presidential elections.", "search"
"Find updates on the economic situation in Europe.", "search"
"Look for news on the volcanic eruption in Hawaii.", "search"
"What are the latest updates in the tech industry?", "search"
"Find out the most important news of the day.", "search"
"Search for news on new cancer treatments.", "search"
"Look for news on the discovery of new animal species.", "search"
"Search for information on the United Nations conference.", "search"
"Find news about the latest G7 summit.", "search"
"What are the latest updates on fiscal policies?", "search"
"Look for updates on Hollywood's film industry.", "search"
"Search for news on recent archaeological discoveries.", "search"
"Find information on social protests in France.", "search"
"Find updates on the refugee crisis in the Middle East.", "search"
"Search for news on advancements in nuclear fusion.", "search"
"Search for information on human rights in China.", "search"
"Find the latest news on the stock market.", "search"
"Busca artículos sobre los efectos psicológicos del aislamiento social.", "search"
"Encuentra investigaciones recientes sobre energías limpias.", "search"
"¿Qué se sabe sobre la nueva teoría cuántica publicada este mes?", "search"
"Busca novedades sobre exploraciones submarinas profundas.", "search"
"Consulta información sobre el impacto económico de las pandemias.", "search"
"Busca noticias sobre el lanzamiento de un nuevo satélite", "search"
"Encuentra información sobre la vida de Albert Einstein", "search"
"¿Cuáles son las últimas noticias sobre el cambio climático?", "search"
"Busca actualizaciones sobre la misión espacial a Marte", "search"
"Encuentra noticias sobre los premios Nobel de este año", "search"
"¿Qué se sabe sobre la inteligencia artificial en la medicina?", "search"
"Busca información sobre la historia de la informática", "search"
"Encuentra noticias sobre los últimos descubrimientos en física cuántica", "search"
"¿Cuáles son las últimas tendencias en tecnología wearable?", "search"
"Busca información sobre la ética en la inteligencia artificial", "search"
"Let's chat about how AI is changing education systems.", "chat"
"What's the most fascinating scientific paradox you know?", "chat"
"Can we talk about books that changed your life?", "chat"
"Tell me something I didn't know about the brain.", "chat"
"What's your perspective on digital minimalism?", "chat"
"Can you tell me a funny story?", "chat"
"Write a Python script?", "chat"
"Tell me a joke.", "chat"
"What do you think about the future of artificial intelligence?", "chat"
"I'd like to discuss philosophy, what do you think about free will?", "chat"
"What's your favorite book?", "chat"
"What are the best vacation destinations?", "chat"
"Do you like board games?", "chat"
"What makes a perfect day for you?", "chat"
"What is happiness to you?", "chat"
"What are the latest trends in fashion?", "chat"
"I'd like to talk about how to manage stress.", "chat"
"What do you think about classical music?", "chat"
"can you tell me an interesting fact?", "chat"
"Write Python code to calculate the area of a square rectangle?", "chat"
"What are the benefits of chamomile?", "chat"
"what do you think about climate change?", "chat"
"Hello, what's your favorite sport?", "chat"
"Good morning, do you have any tips for staying motivated?", "chat"
"Can you recommend an interesting book?", "chat"
"¿Qué opinas sobre el equilibrio entre vida laboral y personal?", "chat"
"Hablemos de cómo la música afecta nuestras emociones.", "chat"
"¿Crees que la tecnología puede reemplazar a los artistas?", "chat"
"Recomiéndame una película que te haga reflexionar.", "chat"
"¿Qué le dirías a alguien que tiene miedo al cambio?", "chat"
"Cuéntame un chiste sobre programación", "chat"
"Escribe un código en Python para generar un laberinto", "chat"
"¿Cuál es la teoría más interesante en física?", "chat"
"Háblame sobre la historia de la inteligencia artificial", "chat"
"¿Qué es la lógica difusa y cómo se aplica?", "chat"
"Recomiéndame algunos recursos para aprender sobre machine learning", "chat"
"¿Cuál es el impacto de la tecnología en la educación?", "chat"
"Cuéntame sobre los diferentes tipos de redes neuronales", "chat"
"¿Puedes generar un texto que suene como si lo hubiera escrito Shakespeare?", "chat"
"Háblame sobre la importancia de la privacidad en la era digital", "chat"
"¿Cuál es la diferencia entre un modelo de lenguaje y un asistente virtual?", "chat"
"Recomiéndame algunos libros sobre la ética de la inteligencia artificial", "chat"
"¿Puedes crear un poema sobre la naturaleza?", "chat"
"Háblame sobre los desafíos de la inteligencia artificial en la medicina", "chat"
"¿Cuál es el futuro de la interacción humano-máquina?", "chat"
"https://www.youtube.com/watch?v=dQw4w9WgXcQ", "video_transcribe"
"https://www.youtube.com/watch?v=jNQXAC9IVRw", "video_transcribe"
"https://www.youtube.com/watch?v=kxopViU98Xo", "video_transcribe"
"https://www.youtube.com/watch?v=ZZ5LpwO-An4", "video_transcribe"
"https://www.youtube.com/watch?v=9bZkp7q19f0", "video_transcribe"
"https://youtu.be/y6120QOlsKM?si=ghijklmnopqrst", "video_transcribe"
"https://youtu.be/JF-panelR7U?si=abcdefghij123", "video_transcribe"
"https://youtu.be/ysz5S6PUM-U?si=4567890abcdefg", "video_transcribe"
"https://youtu.be/3tmd-ClpJxA?si=hijklmnopqr", "video_transcribe"
"https://youtu.be/rigZCiFrq80?si=stuvwxyz12345", "video_transcribe"
"Extract the main arguments from this panel discussion https://youtu.be/ghi654", "video_transcribe"
"Summarize this YouTube class on machine learning https://youtube.com/watch?v=ml123", "video_transcribe"
"Can you break down this art tutorial into clear steps? https://youtu.be/paint456", "video_transcribe"
"List the timestamps of key ideas in this TEDx talk https://youtube.com/watch?v=tedtalk", "video_transcribe"
"Summarize this philosophy debate in bullet points https://youtu.be/philo789", "video_transcribe"
"Summarize this music video in 3 lines https://www.youtube.com/watch?v=dQw4w9WgXcQ", "video_transcribe"
"Extract the key points about productivity from this tutorial https://www.youtube.com/watch?v=jNQXAC9IVRw", "video_transcribe"
"Describe the main steps of the viral dance shown here https://www.youtube.com/watch?v=kxopViU98Xo", "video_transcribe"
"Summarize the technical content of this TED talk in 3 paragraphs https://www.youtube.com/watch?v=ZZ5LpwO-An4", "video_transcribe"
"Summarize this step-by-step tutorial on web development https://www.youtube.com/watch?v=9bZkp7q19f0", "video_transcribe"
"Summarize the productivity tips from this technical video https://youtu.be/dQw4w9WgXcQ?si=123456789", "video_transcribe"
"Summarize the main points of this historical analysis https://youtu.be/jNQXAC9IVRw?si=abcdefghij", "video_transcribe"
"Summarize this web programming tutorial step by step https://youtu.be/kxopViU98Xo?si=klmnopqrst", "video_transcribe"
"Extract the graphic design tips from this video https://youtu.be/ZZ5LpwO-An4?si=uvwxyz1234", "video_transcribe"
"Summarize this TED talk about artificial intelligence https://youtu.be/9bZkp7q19f0?si=567890abcdef", "video_transcribe"
"https://www.youtube.com/watch?v=dQw4w9WgXcQ Summarize this music video in 3 lines", "video_transcribe"
"https://www.youtube.com/watch?v=jNQXAC9IVRw Extract the key points about productivity from this tutorial", "video_transcribe"
"https://www.youtube.com/watch?v=kxopViU98Xo Describe the main steps of the viral dance shown here", "video_transcribe"
"https://www.youtube.com/watch?v=ZZ5LpwO-An4 Summarize the technical content of this TED talk in 3 paragraphs", "video_transcribe"
"https://www.youtube.com/watch?v=9bZkp7q19f0 Summarize this step-by-step tutorial on web development", "video_transcribe"
"https://youtu.be/dQw4w9WgXcQ?si=123456789 Summarize the productivity tips from this technical video", "video_transcribe"
"https://youtu.be/jNQXAC9IVRw?si=abcdefghij Summarize the main points of this historical analysis", "video_transcribe"
"https://youtu.be/kxopViU98Xo?si=klmnopqrst Summarize this web programming tutorial step by step", "video_transcribe"
"https://youtu.be/ZZ5LpwO-An4?si=uvwxyz1234 Extract the graphic design tips from this video", "video_transcribe"
"https://youtu.be/9bZkp7q19f0?si=567890abcdef Summarize this TED talk about artificial intelligence", "video_transcribe"
"Resume los conceptos principales del siguiente documental https://www.youtube.com/watch?v=abc123", "video_transcribe"
"Extrae los momentos clave del tutorial de matemáticas https://youtu.be/xyz789", "video_transcribe"
"Analiza el contenido de esta entrevista política https://youtu.be/jkl456", "video_transcribe"
"Resume esta charla sobre cambio climático https://www.youtube.com/watch?v=uvw987", "video_transcribe"
"Resume los puntos clave del análisis económico en este video https://youtu.be/def321", "video_transcribe"
"Resume el debate político y sus puntos más destacados https://www.youtube.com/watch?v=y6120QOlsKM", "video_transcribe"
"Analiza las técnicas cinematográficas de este clásico infantil https://www.youtube.com/watch?v=JF-panelR7U", "video_transcribe"
"Extrae los puntos clave sobre productividad en este tutorial https://www.youtube.com/watch?v=ysz5S6PUM-U", "video_transcribe"
"Resume este tutorial paso a paso sobre desarrollo web https://www.youtube.com/watch?v=3tmd-ClpJxA", "video_transcribe"
"Extrae los consejos de diseño gráfico de este video https://www.youtube.com/watch?v=8UV8pkEoD4A", "video_transcribe"
"Resume esta charla TED sobre inteligencia artificial https://youtu.be/y6120QOlsKM?si=ghijklmnopqrst", "video_transcribe"
"Resume esta clase virtual sobre inteligencia emocional https://youtu.be/JF-panelR7U?si=abcdefghij123", "video_transcribe"
"Resume los tips de edición de video de este tutorial https://youtu.be/ysz5S6PUM-U?si=4567890abcdefg", "video_transcribe"
"Analiza el contenido educativo de este video para niños https://youtu.be/3tmd-ClpJxA?si=hijklmnopqr", "video_transcribe"
"Extrae los consejos de nutrición dados en este video de salud https://youtu.be/rigZCiFrq80?si=stuvwxyz12345", "video_transcribe"
"https://www.youtube.com/watch?v=y6120QOlsKM Resume el debate político y sus puntos más destacados", "video_transcribe"
"https://www.youtube.com/watch?v=JF-panelR7U Analiza las técnicas cinematográficas de este clásico infantil", "video_transcribe"
"https://www.youtube.com/watch?v=ysz5S6PUM-U Extrae los puntos clave sobre productividad en este tutorial", "video_transcribe"
"https://www.youtube.com/watch?v=3tmd-ClpJxA Resume este tutorial paso a paso sobre desarrollo web", "video_transcribe"
"https://www.youtube.com/watch?v=8UV8pkEoD4A Extrae los consejos de diseño gráfico de este video", "video_transcribe"
"https://youtu.be/y6120QOlsKM?si=ghijklmnopqrst Resume esta charla TED sobre inteligencia artificial", "video_transcribe"
"https://youtu.be/JF-panelR7U?si=abcdefghij123 Resume esta clase virtual sobre inteligencia emocional", "video_transcribe"
"https://youtu.be/ysz5S6PUM-U?si=4567890abcdefg Resume los tips de edición de video de este tutorial", "video_transcribe"
"https://youtu.be/3tmd-ClpJxA?si=hijklmnopqr Analiza el contenido educativo de este video para niños", "video_transcribe"
"https://youtu.be/rigZCiFrq80?si=stuvwxyz12345 Extrae los consejos de nutrición dados en este video de salud", "video_transcribe"